Open,High,Low,Close,Volume,OpenInt
11.948,12.144,11.948,12.001,178579,0
12.074,12.095,11.925,12.046,316855,0
11.932,12.354,11.932,12.278,348006,0
12.216,12.553,12.216,12.419,455171,0
12.481,12.658,12.426,12.593,353405,0
12.538,12.643,12.432,12.6,381018,0
12.446,12.917,12.404,12.553,939296,0
12.522,12.692,12.494,12.616,272754,0
12.522,12.538,12.095,12.313,570646,0
11.932,12.087,11.932,12.001,1249073,0
11.673,11.737,11.517,11.715,794943,0
11.792,11.898,11.659,11.878,633857,0
11.932,12.25,11.826,12.153,1107611,0
12.074,12.208,11.969,12.201,642298,0
12.115,12.242,11.925,12.06,509792,0
12.087,12.165,11.954,12.074,940532,0
12.103,12.103,11.801,11.801,745449,0
11.742,12.08,11.7,11.961,814792,0
11.918,11.988,11.638,11.728,781724,0
11.694,11.948,11.596,11.835,1040780,0
11.903,12.144,11.792,11.792,577721,0
11.792,12.046,11.767,11.884,237524,0
11.884,12.018,11.842,11.954,480016,0
11.954,12.103,11.891,11.988,939687,0
12.06,12.115,11.723,11.792,380187,0
11.792,12.13,11.709,12.046,516107,0
12.095,12.095,11.855,11.863,588049,0
11.977,12.01,11.807,11.871,1128345,0
11.977,12.459,11.961,12.459,1343937,0
12.503,12.806,12.432,12.522,993056,0
12.481,12.578,12.334,12.375,695935,0
12.321,12.762,12.186,12.741,887345,0
12.734,12.796,12.65,12.692,744107,0
12.771,12.796,12.227,12.34,873491,0
12.34,12.396,11.903,11.969,415346,0
12.087,12.208,11.75,11.984,735058,0
11.969,12.321,11.969,12.087,615466,0
12.284,12.453,11.688,11.688,710137,0
11.878,12.038,11.785,11.863,569376,0
11.903,11.903,11.723,11.785,355855,0
11.812,12.158,11.807,12.122,633116,0
12.038,12.313,12.025,12.109,632107,0
12.087,12.227,11.911,12.109,478337,0
12.08,12.08,11.792,11.792,361864,0
11.842,12.046,11.611,11.812,1324158,0
11.871,11.948,11.68,11.737,532919,0
11.742,11.801,11.63,11.68,635507,0
11.63,12.216,11.63,12.158,1135390,0
12.179,12.262,11.863,12.08,1099638,0
12.158,12.291,12.158,12.216,787643,0
12.171,12.328,12.171,12.328,717097,0
12.262,12.375,12.262,12.284,346020,0
12.284,12.426,12.194,12.419,337358,0
12.362,12.538,12.298,12.375,483407,0
12.321,12.354,11.941,12.053,653689,0
12.03,12.453,12.03,12.404,395933,0
12.354,12.473,12.306,12.328,609648,0
12.411,12.411,12.153,12.256,873213,0
11.742,12.306,11.664,12.001,1649746,0
12.115,12.216,11.871,12.018,550553,0
12.06,12.06,11.778,11.826,903090,0
11.891,12.109,11.778,12.068,428754,0
12.087,12.153,11.918,11.977,352573,0
12.095,12.313,12.087,12.242,528830,0
12.313,12.362,12.242,12.34,275268,0
12.298,12.321,12.01,12.201,784553,0
12.095,12.538,12.095,12.481,931667,0
12.564,13.157,12.503,13.141,1380945,0
13.164,13.247,12.924,13.079,983370,0
12.937,13.128,12.896,13.113,587682,0
13.03,13.373,12.989,13.065,894238,0
