Open,High,Low,Close,Volume,OpenInt
6.3,6.32,6.1,6.14,195416,0
6.2,6.49,6.15,6.39,244209,0
6.42,6.52,6.36,6.47,534874,0
6.63,6.8,6.5,6.79,488861,0
6.78,7.1,6.71,7.09,731496,0
7.17,7.25,6.82,6.82,383901,0
6.93,7.18,6.8,6.81,275913,0
6.82,7.0,6.82,6.95,383709,0
6.59,6.65,5.87,6.09,1845373,0
6.17,6.19,5.67,5.79,1094454,0
5.79,5.91,5.76,5.82,300483,0
5.92,6.0,5.71,5.75,375997,0
5.84,5.89,5.58,5.8,410795,0
5.87,5.87,5.59,5.69,159487,0
5.69,5.79,5.57,5.61,324901,0
5.75,5.75,5.54,5.6,280108,0
5.74,5.74,5.51,5.6,266475,0
5.55,5.73,5.51,5.68,363467,0
5.6,5.8,5.56,5.62,281885,0
5.66,5.66,5.44,5.54,335872,0
5.63,5.74,5.47,5.5,306539,0
5.42,5.46,5.16,5.23,732295,0
5.21,5.35,4.96,5.07,357466,0
5.09,5.2,4.86,5.1,586473,0
5.2,5.25,4.82,4.9,1522928,0
4.85,4.91,4.6,4.7,614999,0
4.57,5.1,4.54,5.05,932896,0
5.09,5.17,5.0,5.0,370226,0
5.1,5.12,5.0,5.02,247841,0
5.05,5.1,4.94,5.03,290548,0
5.09,5.14,4.9,5.0,260582,0
5.06,5.43,5.0,5.3,673323,0
5.38,5.43,5.08,5.15,424348,0
5.25,5.35,5.08,5.15,375263,0
5.09,5.18,4.88,4.97,249406,0
5.01,5.1,4.9,4.91,241090,0
4.9,5.05,4.84,4.96,157223,0
5.0,5.08,4.88,5.0,397592,0
5.0,5.01,4.6,4.67,1018349,0
4.67,4.8,4.46,4.59,387215,0
4.56,4.74,4.48,4.62,267292,0
4.61,4.71,4.61,4.7,137132,0
4.7,4.77,4.67,4.71,448193,0
4.75,4.75,4.58,4.59,148802,0
4.72,4.72,4.57,4.61,135979,0
4.6,4.66,4.42,4.55,150380,0
4.51,4.59,4.49,4.52,120002,0
4.5,4.59,4.49,4.59,156188,0
4.85,4.85,4.39,4.4,799944,0
4.45,4.67,4.45,4.51,673122,0
4.59,4.64,4.44,4.44,293630,0
4.49,4.5,4.4,4.42,204436,0
4.4,4.48,4.27,4.38,254061,0
4.44,4.55,4.32,4.35,246327,0
4.35,4.47,4.3,4.35,128480,0
4.35,4.47,4.33,4.45,166348,0
4.48,4.51,4.32,4.38,193608,0
4.35,4.49,4.35,4.36,295093,0
4.36,4.45,4.36,4.4,164504,0
4.39,4.49,4.39,4.45,419317,0
4.54,4.66,4.45,4.55,643900,0
4.66,4.66,4.52,4.6,651195,0
4.64,4.65,4.55,4.6,545377,0
4.65,4.7,4.6,4.67,719527,0
4.69,4.89,4.65,4.76,488295,0
4.8,4.89,4.78,4.86,384281,0
4.95,5.11,4.83,5.02,576935,0
5.08,5.39,5.05,5.34,759015,0
5.41,5.42,5.03,5.15,552690,0
5.2,5.24,5.09,5.12,302295,0
5.16,5.17,4.8,4.85,544875,0
4.8,4.98,4.75,4.92,216252,0
4.92,5.0,4.89,4.91,113833,0
4.9,5.0,4.9,4.97,179608,0
4.95,5.01,4.95,4.95,149809,0
4.91,5.03,4.9,4.92,182290,0
4.93,4.95,4.84,4.85,229575,0
4.96,5.14,4.85,5.1,371064,0
5.09,5.3,5.09,5.17,368921,0
5.2,5.29,5.1,5.22,230993,0
5.25,5.3,5.15,5.29,268035,0
5.25,5.78,5.25,5.77,698729,0
5.7,5.91,5.4,5.46,460161,0
5.47,5.57,5.4,5.55,263798,0
5.65,5.8,5.56,5.7,378864,0
5.79,5.79,5.63,5.72,186185,0
5.71,5.76,5.66,5.67,200194,0
5.65,5.75,5.65,5.68,228332,0
5.7,5.92,5.7,5.9,199725,0
5.9,6.02,5.77,6.02,606774,0
5.81,6.19,5.81,6.17,967668,0
6.1,6.25,5.99,6.23,457094,0
6.28,6.34,6.17,6.3,317852,0
6.22,6.47,6.16,6.45,643277,0
6.49,6.61,6.47,6.6,543512,0
6.6,6.67,6.1,6.25,614725,0
6.31,6.51,6.23,6.44,572026,0
6.49,6.5,6.29,6.33,432336,0
6.34,6.48,6.15,6.31,362822,0
6.34,6.34,6.18,6.25,263244,0
6.3,6.3,6.11,6.14,270489,0
6.17,6.18,6.03,6.05,427783,0
6.03,6.1,5.75,5.9,555110,0
5.92,6.0,5.81,5.85,228946,0
5.88,6.0,5.45,5.95,956870,0
5.98,6.2,5.9,6.15,615636,0
6.21,6.25,5.93,6.02,301139,0
6.03,6.17,5.95,6.01,273276,0
6.02,6.15,5.96,6.0,335848,0
6.0,6.09,5.97,6.0,177688,0
6.0,6.07,5.89,5.95,162441,0
