Open,High,Low,Close,Volume,OpenInt
10.116,10.116,9.84,9.84,52703,0
9.915,9.975,9.74,9.754,43352,0
9.733,9.733,9.625,9.7,105111,0
9.665,9.969,9.665,9.969,38452,0
9.962,9.962,9.789,9.903,32069,0
9.975,10.111,9.975,10.104,30583,0
10.097,10.224,10.05,10.129,23307,0
10.192,10.353,10.192,10.353,21974,0
10.358,10.358,10.214,10.238,46913,0
10.272,10.278,10.238,10.238,5938,0
10.272,10.272,10.192,10.207,11877,0
10.171,10.298,10.145,10.292,32364,0
10.292,10.326,10.232,10.232,10096,0
10.253,10.34,10.253,10.287,36667,0
10.272,10.34,10.232,10.253,16329,0
10.253,10.326,10.077,10.178,18855,0
10.178,10.32,10.178,10.312,8311,0
10.26,10.514,10.26,10.374,37260,0
10.32,10.358,10.219,10.26,14105,0
10.192,10.207,10.057,10.077,14399,0
10.005,10.057,9.929,10.057,6977,0
10.005,10.111,10.005,10.097,90559,0
10.072,10.178,10.05,10.171,13063,0
10.129,10.292,10.097,10.278,14252,0
10.298,10.347,10.224,10.312,23605,0
10.278,10.374,10.265,10.374,17223,0
10.4,10.4,10.224,10.26,7275,0
10.298,10.332,10.192,10.265,3712,0
10.245,10.265,10.232,10.253,13956,0
10.171,10.34,10.171,10.298,7871,0
10.272,10.32,10.265,10.306,6086,0
10.253,10.26,10.137,10.178,8463,0
10.232,10.232,10.158,10.158,58935,0
10.145,10.158,9.942,9.998,21379,0
9.998,10.015,9.857,9.882,22273,0
9.813,10.091,9.813,10.091,17815,0
10.091,10.184,10.057,10.184,40085,0
10.145,10.184,10.057,10.184,43352,0
10.232,10.265,10.145,10.253,20633,0
10.238,10.287,10.158,10.178,5198,0
10.104,10.238,10.104,10.224,6238,0
10.184,10.245,10.178,10.245,12919,0
10.238,10.245,10.057,10.122,21677,0
10.072,10.207,10.064,10.116,11729,0
10.104,10.184,10.104,10.15,8907,0
10.219,10.219,10.097,10.214,15441,0
10.171,10.245,10.137,10.137,13063,0
10.214,10.326,10.214,10.326,19150,0
10.292,10.312,10.26,10.272,21379,0
