Open,High,Low,Close,Volume,OpenInt
12.462,12.555,12.435,12.555,673278,0
12.348,12.421,12.234,12.3,478738,0
12.381,12.416,12.34,12.381,344709,0
12.194,12.3,12.174,12.262,1299938,0
12.201,12.24,12.114,12.194,1063258,0
12.348,12.495,12.314,12.435,636074,0
12.435,12.523,12.435,12.495,4578475,0
12.503,12.582,12.462,12.481,774584,0
12.454,12.503,12.388,12.388,4236901,0
12.428,12.476,12.348,12.443,840924,0
12.368,12.443,12.334,12.376,310194,0
12.322,12.329,12.168,12.24,865577,0
12.269,12.269,12.168,12.168,2472572,0
12.152,12.214,12.047,12.067,539251,0
12.06,12.148,12.028,12.073,817169,0
12.141,12.148,12.021,12.101,751272,0
12.073,12.073,11.872,11.919,776377,0
11.985,12.04,11.819,11.832,1299489,0
11.814,11.851,11.766,11.786,774584,0
11.786,11.872,11.745,11.745,545080,0
11.703,11.826,11.703,11.712,686275,0
11.772,11.84,11.699,11.699,963297,0
11.739,11.872,11.739,11.814,1156943,0
11.644,11.693,11.573,11.591,1685885,0
11.584,11.611,11.418,11.47,1810949,0
11.391,11.47,11.33,11.445,840924,0
11.451,11.531,11.438,11.504,545523,0
11.538,11.599,11.485,11.552,664313,0
11.557,11.644,11.552,11.605,521769,0
11.599,11.667,11.538,11.599,836444,0
11.644,11.703,11.584,11.671,484114,0
11.538,11.667,11.485,11.659,572422,0
11.565,11.638,11.525,11.552,444667,0
11.552,11.557,11.458,11.485,535663,0
11.41,11.451,11.271,11.29,493081,0
11.31,11.383,11.283,11.372,651764,0
11.398,11.431,11.317,11.418,647279,0
11.343,11.431,11.297,11.33,730654,0
11.611,11.611,11.451,11.599,1365384,0
11.638,11.667,11.485,11.545,708692,0
11.491,11.545,11.451,11.504,362638,0
11.497,11.504,11.391,11.391,926541,0
11.343,11.383,11.29,11.377,1300387,0
11.297,11.372,11.216,11.23,1334455,0
11.372,11.398,11.29,11.377,485458,0
11.445,11.465,11.377,11.438,605143,0
11.438,11.565,11.426,11.465,489941,0
11.497,11.625,11.485,11.605,325432,0
11.659,11.68,11.591,11.644,749931,0
11.617,11.632,11.538,11.538,388639,0
11.579,11.599,11.491,11.565,1446967,0
11.31,11.324,11.216,11.23,2000559,0
11.184,11.236,11.124,11.216,1104946,0
11.211,11.23,11.09,11.13,593937,0
11.204,11.279,11.103,11.15,622623,0
11.324,11.358,11.264,11.338,942679,0
11.343,11.465,11.343,11.431,763826,0
11.383,11.584,11.377,11.552,707794,0
11.538,11.632,11.525,11.617,969576,0
11.557,11.591,11.512,11.557,891131,0
11.591,11.644,11.584,11.611,408360,0
11.573,11.584,11.525,11.573,468876,0
11.557,11.557,11.465,11.531,412843,0
11.525,11.545,11.485,11.531,1363143,0
11.431,11.518,11.426,11.504,406119,0
11.317,11.317,11.236,11.251,690311,0
11.184,11.31,11.17,11.257,653106,0
