Open,High,Low,Close,Volume,OpenInt
30.197,30.543,30.197,30.543,62910,0
30.543,30.543,29.668,29.86,168678,0
29.981,30.302,29.804,29.941,137410,0
29.822,30.239,29.621,30.038,82098,0
29.981,30.287,29.87,30.205,76368,0
30.181,30.462,29.981,30.103,76117,0
30.021,30.521,30.021,30.278,60667,0
30.278,30.35,29.613,29.629,71383,0
29.699,29.86,29.299,29.33,43230,0
29.38,29.458,28.618,29.425,136663,0
29.38,29.765,29.276,29.699,43476,0
29.699,29.741,29.458,29.475,35254,0
29.621,29.901,29.442,29.822,57180,0
29.741,29.981,29.579,29.637,59920,0
29.676,30.005,29.579,29.796,274446,0
29.78,29.78,29.372,29.526,84342,0
29.526,29.526,29.097,29.106,38372,0
29.187,29.54,29.146,29.267,51823,0
29.26,29.518,29.155,29.26,78110,0
29.299,29.732,29.276,29.397,35130,0
29.397,29.579,29.219,29.442,54939,0
29.442,29.683,29.155,29.234,63910,0
29.227,29.38,28.784,28.889,63910,0
28.851,28.851,28.35,28.658,57803,0
28.738,28.834,27.976,28.385,90196,0
28.337,28.471,28.088,28.303,171665,0
28.35,29.45,28.343,29.434,163446,0
29.267,29.412,29.026,29.059,75744,0
29.033,29.187,29.017,29.084,97298,0
29.162,29.284,29.001,29.026,49956,0
29.076,29.219,28.978,29.026,54314,0
29.026,29.267,28.993,29.219,68890,0
29.18,29.219,28.754,28.825,82345,0
28.882,29.084,27.887,27.976,163695,0
27.985,28.174,27.116,27.388,182506,0
28.135,28.143,27.454,27.855,75870,0
27.813,28.471,27.813,28.431,179889,0
28.44,28.672,28.35,28.6,276934,0
28.738,29.442,28.738,29.339,124078,0
29.354,29.354,28.407,28.809,154476,0
28.818,29.18,28.818,29.17,80851,0
29.17,29.196,28.825,28.859,77737,0
28.337,28.754,28.256,28.463,160583,0
28.463,28.463,27.291,27.365,275067,0
27.524,27.685,27.074,27.532,220628,0
27.652,27.789,27.228,27.781,164568,0
27.781,27.918,27.47,27.613,152359,0
27.606,27.838,27.492,27.766,94428,0
27.693,27.949,27.524,27.83,99040,0
27.933,27.958,27.541,27.629,66523,0
27.629,27.669,27.454,27.567,126693,0
27.454,27.454,27.125,27.205,94304,0
27.171,27.274,26.81,27.228,77613,0
27.228,27.333,26.971,27.092,100162,0
27.171,27.18,26.794,26.915,92438,0
26.915,27.355,26.851,27.341,57928,0
27.291,27.355,26.851,27.243,77861,0
27.243,27.637,27.243,27.516,69515,0
27.365,27.499,27.108,27.283,159584,0
27.333,27.59,27.092,27.55,108258,0
27.454,27.661,27.333,27.613,91192,0
27.693,27.751,27.492,27.685,74001,0
27.685,27.735,27.14,27.395,134419,0
27.598,27.693,27.462,27.693,65653,0
27.693,27.797,27.421,27.693,37870,0
27.774,27.774,27.18,27.532,123830,0
27.572,27.758,27.499,27.693,169796,0
27.735,27.758,27.598,27.717,178273,0
27.598,27.976,27.558,27.894,154476,0
27.933,28.135,27.933,28.12,103400,0
28.12,28.642,28.12,28.431,79605,0
28.454,28.537,28.217,28.32,55312,0
28.256,28.471,28.097,28.471,35254,0
28.52,28.567,28.088,28.088,102157,0
28.097,28.393,28.097,28.312,31018,0
28.23,28.874,28.182,28.866,70761,0
28.882,29.45,28.658,29.397,249779,0
29.354,29.354,28.93,29.219,50205,0
29.38,29.434,28.866,29.26,129561,0
29.219,29.475,29.219,29.339,119468,0
29.322,29.42,29.18,29.38,154972,0
29.5,29.5,29.242,29.467,94555,0
29.42,29.42,29.219,29.299,123083,0
29.299,29.347,28.851,29.059,143762,0
29.059,29.138,28.385,28.712,101283,0
28.818,29.54,28.818,29.347,87579,0
29.339,29.621,29.26,29.621,48833,0
29.732,29.966,29.339,29.347,65403,0
29.45,29.909,29.347,29.458,50702,0
29.5,30.262,29.5,30.262,71631,0
30.181,30.359,29.941,29.941,53443,0
29.822,30.103,29.404,29.699,51950,0
29.707,30.566,29.579,30.487,70761,0
30.487,30.744,30.359,30.735,60171,0
30.735,30.993,30.487,30.688,40738,0
30.566,30.785,30.35,30.735,41362,0
30.831,30.863,30.607,30.681,51075,0
30.657,30.943,30.657,30.921,30397,0
30.913,31.105,30.744,30.881,53569,0
30.985,31.482,30.906,31.202,78357,0
31.202,31.867,30.943,31.788,57803,0
31.788,31.996,31.347,31.347,83967,0
31.331,32.03,31.24,31.963,81600,0
31.876,31.876,31.143,31.331,347572,0
31.307,31.788,31.143,31.505,109254,0
31.548,31.571,31.347,31.497,79481,0
31.584,31.788,31.539,31.691,118222,0
31.691,31.707,31.465,31.698,35503,0
31.779,31.931,31.571,31.774,95302,0
31.611,31.707,31.324,31.53,85585,0
31.548,32.341,31.347,32.253,117105,0
32.149,32.261,31.584,31.611,107762,0
31.707,32.149,31.384,32.069,83718,0
32.149,32.253,31.436,31.539,71383,0
31.473,31.803,31.361,31.698,71258,0
31.698,31.788,31.024,31.265,66770,0
31.265,31.473,30.937,31.152,67398,0
31.074,31.081,30.709,30.831,80474,0
30.831,31.578,30.701,31.465,86330,0
31.465,31.465,30.985,31.017,50702,0
31.017,31.187,31.001,31.032,26534,0
31.032,31.152,30.863,30.943,41487,0
30.952,31.024,30.863,30.906,23671,0
30.906,31.178,30.906,31.049,37120,0
31.049,31.143,30.794,30.847,38994,0
30.822,30.985,30.624,30.753,38121,0
30.814,30.847,30.559,30.666,34754,0
30.598,30.598,29.981,29.989,66148,0
29.941,30.27,29.822,30.174,56431,0
30.141,30.47,30.021,30.239,45346,0
30.038,30.399,29.981,30.197,49083,0
30.159,30.423,29.42,29.661,80976,0
29.579,29.654,29.076,29.227,59302,0
29.307,30.103,29.307,29.829,182506,0
29.851,30.302,29.851,30.27,75368,0
30.11,30.174,29.885,29.941,61043,0
29.941,30.181,29.668,29.691,161451,0
29.699,29.78,29.587,29.683,120963,0
29.683,29.683,29.404,29.661,44723,0
29.699,29.851,29.033,29.097,36002,0
29.18,29.299,28.859,29.211,30521,0
29.388,29.661,29.059,29.554,109752,0
29.661,29.836,29.425,29.526,50824,0
29.605,29.668,28.921,29.05,71631,0
29.059,29.059,28.658,28.672,86330,0
28.634,29.059,28.471,28.777,134044,0
28.68,28.978,28.658,28.809,69515,0
28.93,29.38,28.859,29.251,88327,0
29.203,29.219,28.897,29.059,100537,0
29.113,29.146,28.696,28.859,51950,0
28.897,29.146,28.721,29.138,128068,0
29.146,29.38,29.12,29.162,42355,0
29.162,29.442,29.162,29.354,42355,0
29.299,29.741,29.219,29.219,39118,0
29.12,29.38,28.618,28.618,63535,0
28.68,29.017,28.217,28.801,78860,0
28.738,28.947,28.454,28.762,66148,0
