Open,High,Low,Close,Volume,OpenInt
45.1,45.82,44.91,45.11,1935300,0
45.11,45.99,44.87,45.78,802300,0
45.78,46.32,44.6,44.75,685700,0
44.75,46.1,44.75,45.93,580800,0
46.18,47.11,46.18,46.61,1158800,0
46.7,47.53,46.67,47.21,817600,0
47.26,47.48,47.15,47.22,889300,0
47.26,47.79,45.2,45.81,1435300,0
45.82,47.36,45.52,45.55,555100,0
45.37,45.37,42.86,44.04,761500,0
43.8,45.53,43.75,44.3,468700,0
44.65,45.29,43.96,45.05,437900,0
44.9,45.68,43.92,44.0,414500,0
44.0,45.13,43.95,43.97,664500,0
44.5,44.79,43.9,44.62,383500,0
44.7,45.01,44.26,44.46,445500,0
44.62,44.93,44.07,44.45,497000,0
44.63,46.44,44.63,45.25,607700,0
45.21,45.21,43.6,43.97,632300,0
44.05,45.2,43.77,44.09,360900,0
44.0,44.66,43.9,44.27,496600,0
44.37,45.27,43.52,43.52,494800,0
43.4,43.99,43.2,43.77,626400,0
44.24,45.41,44.24,45.17,438100,0
45.7,46.88,45.35,46.78,502200,0
47.7,47.89,45.81,46.62,350600,0
46.5,46.55,45.71,46.0,395200,0
46.04,46.88,45.9,46.45,369800,0
46.75,47.02,45.09,45.44,475300,0
45.44,45.53,44.23,44.33,312900,0
44.0,44.67,43.5,44.38,296900,0
44.38,44.65,43.67,43.93,460600,0
43.43,43.69,40.91,41.3,803000,0
41.65,42.28,40.87,40.87,367900,0
40.75,40.98,39.2,39.2,397400,0
40.15,40.15,38.68,39.6,405100,0
40.25,41.06,40.25,40.73,476800,0
40.73,40.95,39.85,39.85,385900,0
40.25,41.38,40.03,41.36,235200,0
41.51,41.97,40.62,41.09,321200,0
41.55,42.44,41.55,42.41,326500,0
42.41,42.41,40.9,40.98,310000,0
40.98,40.98,39.52,39.58,229000,0
39.25,39.25,38.39,38.59,405300,0
38.84,39.09,38.04,38.36,428200,0
38.28,40.15,38.05,40.15,483200,0
39.75,39.75,37.66,37.98,577400,0
38.12,39.1,38.0,39.07,678000,0
39.18,39.96,38.81,39.5,407400,0
40.0,40.11,39.34,39.45,348900,0
39.45,40.19,39.38,40.17,262400,0
40.05,40.05,38.98,39.0,332700,0
39.0,39.55,38.83,39.5,428100,0
39.51,39.58,36.82,37.14,427800,0
37.17,37.48,36.09,36.42,248700,0
36.42,36.42,35.2,36.18,458200,0
36.03,37.12,36.03,36.98,246100,0
37.4,37.61,36.04,36.77,310000,0
36.65,37.46,36.35,37.0,237900,0
37.01,37.19,36.34,36.53,187900,0
36.52,37.02,36.01,36.98,506400,0
37.05,37.19,36.6,37.19,315500,0
37.23,38.0,36.52,37.69,396300,0
37.94,38.32,37.4,38.17,246600,0
38.35,39.11,38.3,38.91,181200,0
38.86,39.15,38.07,39.02,284600,0
39.2,40.15,39.2,39.92,269300,0
39.98,40.69,39.75,40.35,458000,0
40.58,41.19,40.37,40.55,257200,0
40.65,41.37,40.37,41.29,361200,0
41.31,42.01,40.21,40.27,320400,0
40.27,41.14,40.0,40.27,367800,0
40.4,42.19,40.21,42.19,341400,0
42.26,42.28,41.04,41.46,242200,0
41.47,41.8,41.1,41.65,364600,0
41.7,41.75,41.25,41.62,396600,0
42.0,42.0,41.28,41.89,452200,0
41.9,42.51,41.72,42.45,430100,0
42.5,42.9,41.58,42.15,685100,0
42.16,42.6,41.92,42.15,423800,0
42.01,42.01,40.31,40.6,587300,0
40.69,41.0,39.78,40.27,466100,0
40.34,41.47,40.02,40.66,363300,0
40.68,41.07,39.86,40.86,1487200,0
43.0,43.94,42.85,43.85,885100,0
44.1,44.15,42.68,42.79,623600,0
42.89,44.2,42.89,43.69,583600,0
43.91,44.6,43.4,44.01,366800,0
44.26,44.65,43.98,44.35,322700,0
44.65,45.23,44.59,45.16,372400,0
45.21,45.73,44.18,44.41,365100,0
44.2,44.42,43.93,44.15,724300,0
44.39,44.73,44.12,44.5,477400,0
44.49,44.55,44.0,44.45,283200,0
44.7,45.5,44.65,45.4,243700,0
45.41,45.49,44.56,45.0,298100,0
45.1,45.3,43.3,43.61,306600,0
43.7,43.85,42.98,42.98,271700,0
42.85,43.11,42.28,42.82,366400,0
43.0,44.27,42.75,44.26,254500,0
44.28,44.42,43.31,44.28,194800,0
44.28,44.5,43.15,43.7,206800,0
44.3,45.54,44.3,45.53,235300,0
45.53,46.12,45.13,45.87,244700,0
46.88,46.89,45.77,46.41,365100,0
46.91,47.36,46.15,47.08,487000,0
47.58,47.99,47.17,47.73,377800,0
47.96,47.97,47.46,47.5,203200,0
47.79,48.24,47.72,47.8,292500,0
47.98,49.25,47.87,49.2,666500,0
49.7,50.07,49.39,49.85,706800,0
49.85,50.75,49.78,50.55,873600,0
50.55,50.56,49.36,50.44,660200,0
51.2,52.12,51.17,51.85,1021100,0
51.95,52.03,51.48,51.49,405600,0
51.95,52.25,51.52,52.0,624500,0
52.75,52.75,52.19,52.66,617600,0
52.75,52.97,51.56,51.97,238300,0
51.85,52.12,50.75,50.9,263500,0
50.91,51.68,50.03,50.2,256000,0
50.1,50.75,48.55,49.1,350400,0
48.4,49.13,47.65,48.38,429700,0
48.8,49.64,48.44,49.38,255400,0
49.7,50.3,49.4,49.63,363100,0
49.88,50.23,48.39,48.99,361100,0
49.13,50.08,48.91,49.68,380200,0
49.69,49.82,49.26,49.6,199500,0
49.7,49.81,48.05,48.1,347000,0
48.65,49.39,48.07,49.11,314700,0
49.45,51.4,49.25,51.09,467800,0
51.45,52.94,51.1,52.06,658400,0
52.48,53.24,52.11,52.85,455300,0
52.55,52.55,50.79,51.09,246200,0
51.59,52.06,50.06,51.92,355500,0
51.9,52.0,50.78,51.17,352500,0
51.35,52.12,50.5,51.09,252400,0
51.3,51.98,51.06,51.95,388700,0
51.95,51.96,50.51,50.75,407500,0
50.0,50.89,49.9,50.1,300000,0
50.3,50.55,49.9,50.25,502600,0
50.4,50.5,49.2,49.51,610400,0
49.62,49.87,49.1,49.79,818300,0
50.48,52.4,50.48,51.95,398600,0
52.0,52.47,50.63,51.5,398600,0
51.5,52.84,51.0,52.29,427000,0
53.24,53.24,49.9,50.83,434500,0
51.0,51.0,49.67,50.08,275800,0
50.08,51.85,49.7,51.85,394300,0
51.45,52.16,51.13,52.13,586800,0
52.59,55.16,52.23,55.04,1396300,0
55.25,56.44,55.01,55.9,660700,0
56.0,56.33,55.21,55.28,377700,0
55.29,56.5,54.07,55.06,623600,0
54.56,54.73,52.7,53.1,581600,0
53.2,53.44,50.0,50.7,628400,0
48.5,50.4,47.85,48.74,723000,0
50.25,51.27,49.15,50.7,473000,0
52.15,52.15,48.96,49.46,351000,0
50.25,50.63,49.8,50.19,385500,0
50.21,50.46,48.64,48.94,384000,0
48.94,48.96,45.9,47.63,635900,0
47.64,48.93,46.56,48.69,714300,0
50.5,50.5,49.18,49.88,347600,0
49.88,50.11,46.67,46.67,486600,0
46.9,48.67,45.75,48.41,440300,0
48.26,48.6,45.41,46.25,518500,0
45.75,47.85,45.73,47.01,363300,0
47.02,48.68,47.0,48.35,319600,0
48.75,50.66,48.75,50.4,509800,0
51.2,52.95,50.56,51.3,545800,0
52.02,52.02,48.75,49.3,504800,0
49.5,51.52,48.85,51.11,531900,0
51.36,52.72,50.91,52.4,485300,0
52.25,53.53,52.02,53.31,513300,0
54.0,55.04,53.59,54.92,555000,0
55.27,55.99,55.07,55.51,500500,0
55.45,55.45,52.79,53.15,423000,0
52.85,52.99,51.41,52.25,428700,0
52.0,53.81,51.37,53.14,337700,0
53.15,53.95,51.4,51.93,560000,0
51.1,51.26,49.22,49.85,623600,0
49.3,50.55,48.75,50.3,325000,0
50.7,51.68,50.07,50.88,314300,0
50.25,52.68,50.25,50.68,415100,0
50.93,52.5,50.65,52.26,336600,0
53.0,53.36,52.15,53.25,320800,0
53.25,53.3,52.34,53.23,285000,0
53.75,54.82,53.31,54.72,237200,0
55.1,55.9,54.81,55.72,313900,0
55.72,55.72,53.75,54.82,325300,0
55.2,55.3,54.52,54.96,70200,0
54.0,54.18,52.48,53.32,537500,0
53.75,54.54,53.25,53.76,315400,0
53.76,54.62,53.5,54.16,483900,0
54.85,56.89,54.5,56.65,593200,0
56.85,57.16,55.44,56.11,491400,0
57.11,57.39,56.68,57.19,563300,0
57.39,58.14,56.8,57.14,439300,0
57.55,58.05,56.26,56.67,395800,0
57.15,58.52,56.98,58.52,754800,0
58.52,58.52,57.42,58.18,403800,0
60.0,60.0,58.15,59.02,271300,0
59.3,59.75,58.21,58.3,280400,0
57.7,59.25,57.54,59.21,248900,0
59.0,59.42,57.3,58.14,292100,0
58.14,58.14,55.77,55.8,310000,0
56.25,56.72,54.65,55.4,340300,0
55.65,56.87,55.32,56.73,211800,0
57.2,57.71,56.13,56.7,272500,0
57.25,57.25,56.16,56.8,178800,0
56.66,56.67,55.32,56.18,165800,0
55.7,55.7,53.26,53.82,335700,0
54.49,55.08,54.0,54.6,157600,0
54.61,55.6,53.83,54.43,256300,0
54.42,55.68,53.75,55.03,301400,0
