Open,High,Low,Close,Volume,OpenInt
22.73,22.95,22.4,22.84,274234,0
22.9,22.9,22.37,22.71,455134,0
22.68,22.85,22.29,22.39,611936,0
22.4,22.8,22.36,22.46,496306,0
22.43,22.52,21.88,21.98,625588,0
21.98,22.07,21.41,21.75,1100204,0
21.7,22.05,21.7,21.95,594948,0
21.93,22.23,21.93,22.16,803206,0
22.01,22.22,21.8,22.09,998528,0
22.09,22.18,21.48,21.64,715682,0
21.55,21.66,21.15,21.22,785216,0
21.32,21.79,21.16,21.7,673446,0
21.78,22.11,21.48,21.6,1244254,0
21.52,21.84,21.43,21.54,515834,0
21.43,21.68,21.32,21.57,518276,0
21.64,21.69,21.11,21.43,1175386,0
21.5,21.62,21.43,21.58,429812,0
21.59,22.21,21.54,21.55,708226,0
21.3,22.12,21.3,21.98,637602,0
21.87,22.48,21.87,22.02,832076,0
22.07,22.23,22.0,22.2,775040,0
22.14,22.68,22.0,22.29,1360442,0
22.34,22.54,22.07,22.43,660172,0
22.41,23.06,22.3,22.85,1072306,0
22.85,22.88,22.05,22.57,1054954,0
22.59,22.59,21.92,22.11,526228,0
22.09,22.65,22.02,22.51,447672,0
22.59,22.74,22.36,22.57,487988,0
22.57,23.7,22.38,23.15,1301630,0
23.27,23.36,22.62,22.75,556504,0
22.68,22.87,22.43,22.87,309620,0
22.68,23.77,22.48,23.75,1161020,0
23.92,24.11,23.5,23.67,934508,0
23.77,23.77,23.38,23.43,660730,0
23.25,23.25,22.43,23.13,1142628,0
23.02,23.7,23.0,23.51,971380,0
23.51,24.5,23.51,24.3,2410018,0
24.34,24.95,24.18,24.83,1420454,0
24.95,25.98,24.77,25.68,1605542,0
25.57,25.69,25.12,25.36,1312056,0
25.25,26.0,25.23,25.95,904784,0
25.88,26.46,25.7,26.09,1250576,0
26.07,26.07,25.38,25.45,737234,0
25.55,25.55,24.43,24.5,972280,0
24.8,24.8,23.92,24.0,1417836,0
24.23,24.87,24.11,24.86,1137418,0
24.0,25.83,23.8,25.61,2085100,0
25.55,26.66,25.55,26.33,786166,0
26.46,27.18,26.15,27.16,1087260,0
27.27,27.27,26.52,26.8,1007132,0
26.8,27.2,26.43,27.14,710356,0
27.11,27.14,26.8,27.14,1271896,0
27.0,27.21,26.59,27.1,686930,0
27.0,27.38,26.93,27.36,1071786,0
