Open,High,Low,Close,Volume,OpenInt
13.45,13.53,12.75,13.3,88100,0
13.02,13.47,13.02,13.35,25900,0
13.55,13.79,13.38,13.46,32600,0
13.35,14.0,13.35,13.99,43800,0
13.75,14.62,13.75,14.48,67600,0
14.49,14.64,14.29,14.29,34300,0
14.3,14.34,14.0,14.3,28700,0
14.2,14.35,14.2,14.3,13100,0
14.3,14.74,14.25,14.4,45300,0
14.2,14.2,13.9,14.07,24900,0
14.0,14.01,13.9,13.95,21600,0
13.85,13.9,13.5,13.79,23300,0
13.89,13.94,13.61,13.65,37000,0
13.55,13.62,13.1,13.19,47600,0
13.25,13.4,13.2,13.4,20800,0
13.43,13.48,13.11,13.47,78900,0
13.3,13.67,13.1,13.1,15100,0
13.14,13.21,12.85,13.18,44900,0
13.1,13.15,12.97,12.99,7100,0
12.92,13.13,12.8,13.06,20600,0
13.3,13.68,13.07,13.36,21400,0
13.25,13.41,12.9,12.9,19900,0
12.9,12.99,12.67,12.95,76500,0
13.0,13.01,12.7,12.8,39200,0
13.0,13.05,12.54,12.8,22500,0
12.8,12.8,12.46,12.59,31800,0
12.4,12.57,12.1,12.31,96500,0
12.35,12.41,12.25,12.38,26700,0
12.3,12.7,12.17,12.63,32400,0
12.83,13.04,12.77,12.94,56200,0
12.95,12.95,12.5,12.68,33500,0
12.68,12.68,12.4,12.5,20900,0
12.51,12.51,12.31,12.5,38400,0
12.5,12.5,12.21,12.21,24100,0
12.22,12.35,12.11,12.26,25600,0
12.18,12.25,11.8,12.25,26000,0
12.2,12.58,12.2,12.58,11300,0
12.5,12.58,12.1,12.16,21700,0
12.2,12.4,11.89,12.21,29700,0
12.11,12.7,12.05,12.7,58600,0
12.6,12.99,12.5,12.69,25500,0
12.44,12.57,12.22,12.46,20800,0
12.4,12.68,12.4,12.58,21200,0
12.5,12.5,11.7,12.01,33700,0
12.01,12.49,12.01,12.49,27900,0
12.49,12.58,12.32,12.49,24400,0
12.49,12.49,12.33,12.36,8600,0
12.2,12.25,11.9,12.01,78300,0
11.89,12.24,11.89,12.14,46100,0
12.2,12.21,11.92,12.0,18100,0
11.95,11.95,11.71,11.8,16700,0
11.75,11.92,11.63,11.92,42700,0
11.72,12.21,11.7,12.03,50400,0
11.98,12.07,11.85,11.85,26800,0
11.8,11.8,11.34,11.45,53600,0
11.37,11.37,10.96,11.21,64200,0
11.15,11.2,10.87,11.16,52900,0
11.2,11.28,11.05,11.07,43100,0
11.05,11.23,11.05,11.1,18600,0
11.1,11.22,11.01,11.11,14700,0
11.05,11.07,10.9,11.0,54000,0
11.0,11.0,10.64,10.99,46700,0
11.0,11.0,10.76,10.92,29700,0
10.85,11.0,10.79,10.96,48900,0
10.96,10.99,10.94,10.99,27500,0
10.95,11.0,10.78,10.99,74700,0
11.0,11.07,10.95,10.95,126200,0
10.95,11.0,10.77,11.0,55400,0
10.99,11.02,10.91,10.96,52300,0
10.96,10.97,10.87,10.95,26600,0
10.95,11.0,10.84,10.84,21100,0
10.8,11.2,10.7,10.85,84000,0
10.83,10.84,10.74,10.76,52400,0
10.72,10.84,10.71,10.83,32600,0
10.85,10.9,10.76,10.86,68400,0
10.96,11.08,10.96,11.01,64800,0
10.4,10.45,9.85,10.0,420200,0
10.0,10.63,10.0,10.35,228000,0
10.44,10.86,10.36,10.7,142300,0
10.71,10.75,10.65,10.7,30900,0
10.69,10.69,10.6,10.67,36200,0
10.6,10.85,10.5,10.7,118300,0
10.7,10.75,10.5,10.5,32500,0
10.45,10.7,10.0,10.7,393000,0
10.65,10.65,10.36,10.52,46600,0
10.57,10.65,10.35,10.6,64000,0
10.55,10.68,10.5,10.67,108000,0
10.67,10.9,10.62,10.85,90300,0
10.8,10.9,10.8,10.87,51100,0
10.92,10.98,10.65,10.77,40800,0
