Open,High,Low,Close,Volume,OpenInt
5.5129,5.6059,5.5129,5.5668,172610,0
5.4973,5.6675,5.4973,5.629,132426,0
5.6519,6.0311,5.6519,5.9923,220738,0
6.0,6.0543,5.7219,5.8687,141921,0
5.8994,5.969,5.861,5.8763,38265,0
5.8456,6.085,5.7835,6.0311,132936,0
5.9768,6.0,5.8918,5.9304,92192,0
5.8763,5.9073,5.7911,5.8146,152610,0
5.7527,5.7527,5.4746,5.4746,252359,0
5.4432,5.5051,5.397,5.4821,108918,0
5.544,5.5978,5.4509,5.4973,124578,0
5.4973,5.5051,5.3505,5.397,145280,0
5.3584,5.4509,5.3274,5.4432,186420,0
5.4202,5.4973,5.3892,5.4509,255745,0
5.3892,5.5051,5.3892,5.4588,111129,0
5.5285,5.5285,5.4124,5.4432,110877,0
5.4124,5.5592,5.3816,5.4202,110699,0
5.4124,5.5978,5.4124,5.4894,133315,0
5.4432,5.5592,5.3816,5.397,124995,0
5.3816,5.4202,5.366,5.366,66167,0
5.3816,5.3816,5.1883,5.1959,270051,0
5.2425,5.2808,5.1883,5.1959,113744,0
5.2191,5.2808,5.0415,5.2269,283576,0
5.2269,5.2425,5.0721,5.1187,248573,0
5.1573,5.2269,5.0878,5.103,108531,0
5.1493,5.2425,5.111,5.2347,115844,0
5.1804,5.2731,5.1729,5.2191,246037,0
5.1959,5.3352,5.1883,5.2885,87204,0
5.2885,5.4821,5.2579,5.2963,137414,0
5.3584,5.3737,5.2885,5.3428,64135,0
5.3584,5.3584,5.2655,5.2885,53598,0
5.2037,5.2425,5.1573,5.1804,86278,0
4.8325,5.3584,4.7244,5.1959,789594,0
5.0105,5.1883,5.0027,5.1265,557797,0
4.9949,5.0798,4.9022,4.9792,314743,0
5.0105,5.0259,4.562,4.6931,301171,0
4.7011,5.0105,4.6236,4.9792,436258,0
4.8865,4.9792,4.8865,4.9792,91835,0
5.0721,5.8146,5.0721,5.6756,650562,0
5.6443,5.8223,5.5516,5.5899,324426,0
5.6059,5.7911,5.4665,5.4973,219210,0
5.5362,5.5823,5.3584,5.5592,194926,0
5.5516,5.629,5.4973,5.5129,142072,0
5.5129,5.6675,5.4588,5.6366,87818,0
5.5592,5.8223,5.5592,5.8067,173748,0
5.8223,6.1547,5.745,5.7911,475825,0
5.8456,6.1239,5.745,6.1161,183774,0
6.1467,6.1467,5.969,5.969,90958,0
6.0156,6.0622,5.8687,6.0078,76722,0
6.0622,6.1082,5.9458,5.9923,87922,0
5.9923,6.0929,5.9923,6.0929,228644,0
6.0467,6.085,5.9073,6.0543,280169,0
6.0467,6.1933,5.9845,6.1855,76710,0
6.1855,6.3169,6.1625,6.3169,208157,0
6.2551,6.3557,6.2397,6.3479,181303,0
6.3557,6.3943,6.2629,6.3943,196314,0
6.3557,6.6186,6.3479,6.6109,231796,0
6.526,6.6031,6.3943,6.5724,283470,0
6.5103,6.6186,6.5103,6.6031,240167,0
6.6339,6.6496,6.2551,6.4098,225063,0
6.4641,6.6419,6.4486,6.5335,244709,0
6.6186,6.6186,6.3943,6.4561,124735,0
6.441,6.4561,6.3713,6.4332,143695,0
6.441,6.4486,6.2397,6.286,153852,0
6.2629,6.2707,6.1239,6.2707,181817,0
6.3169,6.441,6.2707,6.2707,151088,0
6.2707,6.286,6.0771,6.1317,182238,0
6.1239,6.2474,6.1004,6.1547,179381,0
6.1547,6.3866,6.1547,6.3635,140460,0
6.3943,6.3943,6.2244,6.286,93957,0
6.2474,6.5413,6.2009,6.4641,152810,0
6.5183,7.3842,6.4868,7.1674,848836,0
7.2603,7.2683,6.7731,6.9123,893947,0
7.0208,7.129,6.7346,6.9123,429341,0
6.9202,7.183,6.8351,6.8582,326546,0
6.8197,6.8893,6.7346,6.8042,265564,0
6.8738,6.8814,6.8042,6.8662,613156,0
6.8662,7.0208,6.8042,7.0208,1353035,0
7.0594,7.0594,6.1467,6.8738,387723,0
6.8042,6.8738,6.7346,6.8121,170177,0
6.7731,6.8969,6.5877,6.7501,310448,0
6.6805,6.8121,6.526,6.6496,218443,0
6.6261,6.7115,6.5724,6.6339,114460,0
6.5724,6.7424,6.4176,6.4254,2504097,0
6.3092,6.3557,6.1547,6.3248,525436,0
6.3092,6.4561,6.2009,6.4332,195786,0
6.3866,6.6261,6.379,6.5645,177431,0
6.5413,6.6496,6.4868,6.5103,109127,0
6.5877,6.5877,6.4098,6.5566,90431,0
6.4718,6.6496,6.4332,6.6496,101912,0
6.6805,6.7501,6.6728,6.7424,119976,0
6.7115,6.9741,6.6575,6.8662,327295,0
6.8582,7.0441,6.7731,7.0364,165771,0
7.0364,7.7011,7.0364,7.2683,832700,0
7.2989,7.3379,7.0594,7.1598,299167,0
7.1598,7.214,7.129,7.1368,113653,0
7.129,7.214,7.0441,7.0826,133341,0
7.0441,7.129,7.0441,7.0671,72087,0
7.0904,7.1134,7.0441,7.1055,113414,0
7.0826,7.3919,7.0826,7.2989,163942,0
7.3763,7.3763,7.0516,7.2913,281016,0
7.2913,7.3686,7.1134,7.2372,233848,0
7.2683,7.6161,7.2295,7.5928,651777,0
7.6549,8.3044,7.6549,8.1881,720295,0
8.2576,8.6286,8.2576,8.4517,906951,0
8.4984,8.5046,8.4517,8.4745,649380,0
8.4745,8.6052,8.4745,8.5908,523022,0
8.5908,8.6214,8.4984,8.5908,195867,0
8.5908,8.6052,8.5046,8.5971,286133,0
8.6052,8.6052,8.3201,8.4984,410452,0
8.4745,8.6286,8.4356,8.6052,632016,0
8.567,8.6052,8.3664,8.4128,165870,0
8.4128,8.4823,7.67,8.242,500403,0
8.2498,8.3428,8.1805,8.2966,224400,0
8.2809,8.4356,8.2733,8.3811,180756,0
8.3349,8.6052,8.3349,8.5835,309060,0
8.567,9.0393,8.3506,8.5908,483908,0
8.5431,8.6897,8.2114,8.4586,251929,0
8.3811,9.0225,8.3123,8.7827,555419,0
8.6449,8.8454,8.4277,8.559,564555,0
8.5908,9.0008,8.3734,8.7609,1084438,0
8.698,8.7827,8.4277,8.6367,464612,0
