Open,High,Low,Close,Volume,OpenInt
23.792,24.112,23.774,24.112,281531,0
23.939,24.138,23.743,24.034,178445,0
24.112,24.418,23.972,24.246,201953,0
24.284,24.613,24.112,24.394,222257,0
24.48,24.591,23.997,24.356,264157,0
24.582,24.659,24.426,24.542,245762,0
24.622,24.991,24.535,24.799,137443,0
24.832,24.88,24.542,24.622,165164,0
24.565,24.638,24.308,24.378,200163,0
24.418,24.613,24.237,24.473,260583,0
24.514,24.613,24.276,24.487,218430,0
24.622,24.886,24.548,24.7,179213,0
24.974,25.02,24.7,24.793,289069,0
24.816,24.943,24.659,24.7,386405,0
24.714,24.917,24.646,24.824,252022,0
25.013,25.029,24.591,24.793,450015,0
24.824,24.894,24.622,24.722,210891,0
24.582,24.832,24.308,24.356,395600,0
24.356,24.356,23.981,24.018,284086,0
24.057,24.292,24.004,24.004,179724,0
24.026,24.19,23.932,24.071,204888,0
24.065,24.292,23.485,23.587,450145,0
24.057,24.183,23.666,23.972,216512,0
24.057,24.292,23.876,24.237,278464,0
24.464,24.542,23.932,24.211,231972,0
24.22,24.22,23.9,24.198,614791,0
24.198,24.378,23.891,24.048,368392,0
23.916,24.183,23.774,23.876,304779,0
23.883,24.153,23.743,24.018,225839,0
24.112,24.138,23.883,23.916,154561,0
23.947,24.159,23.838,24.026,230820,0
24.145,24.535,23.955,24.418,280763,0
24.331,24.371,23.955,24.048,214214,0
24.112,24.237,23.729,23.774,330583,0
23.783,23.908,23.446,23.533,342463,0
23.485,23.838,23.273,23.549,241165,0
23.736,23.823,23.518,23.707,368521,0
23.666,23.751,23.377,23.485,264157,0
23.783,23.871,23.485,23.765,208465,0
23.765,23.871,23.502,23.743,256878,0
23.838,23.864,23.644,23.807,252022,0
23.801,24.018,23.493,23.502,202206,0
23.565,23.864,23.298,23.542,282936,0
23.801,24.065,23.291,23.61,407861,0
23.682,23.759,23.219,23.729,467386,0
23.815,24.206,23.736,24.145,359706,0
24.27,24.409,23.963,24.167,366862,0
24.246,24.371,23.997,24.27,215874,0
